Datetime,EURUSD.ADX_Cum_PnL,EURUSD.ADX_Position,EURUSD.ADX_aPosition,EURUSD.ADX_Total_PnL,EURUSD.ADX_Margin,EURUSD.ADX_Loss,EURUSD.ADX_Profit,EURUSD.KAMA_Cum_PnL,EURUSD.KAMA_Position,EURUSD.KAMA_aPosition,EURUSD.KAMA_Total_PnL,EURUSD.KAMA_Margin,EURUSD.KAMA_Loss,EURUSD.KAMA_Profit,EURUSD.RSI_Cum_PnL,EURUSD.RSI_Position,EURUSD.RSI_aPosition,EURUSD.RSI_Total_PnL,EURUSD.RSI_Margin,EURUSD.RSI_Loss,EURUSD.RSI_Profit,Cum_Position,Cum_aPosition,Total_Position,Total_aPosition,Margins,Total_Cum_PnL,Total_PnL(USD),Losses,Profits,Balance,B_Drawdown,Drawdown,B_Peak-to-Trough,Possible_Losses,Possible_Profits
2002-05-01,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-02,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-03,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-06,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-07,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-08,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-09,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-10,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-13,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
2002-05-14,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0.0000,0,0.0000,0.0000,,,,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5000.0000,,0.0000,-0.0000,5000.0000,5000.0000
