Datetime,Open,High,Low,Close
2002-05-01,0.9005,0.9089,0.899,0.9063
2002-05-02,0.9063,0.9083,0.901,0.903
2002-05-03,0.9031,0.9178,0.9024,0.9173
2002-05-06,0.9164,0.9188,0.9133,0.9179
2002-05-07,0.9181,0.9193,0.9114,0.9143
2002-05-08,0.9144,0.9147,0.9036,0.9049
2002-05-09,0.9049,0.9116,0.9037,0.9097
2002-05-10,0.9097,0.9153,0.9084,0.914
2002-05-13,0.9129,0.9171,0.9094,0.9121
2002-05-14,0.912,0.9123,0.901,0.903
2002-05-15,0.9028,0.913,0.8994,0.9122
2002-05-16,0.9121,0.9144,0.9085,0.9118
2002-05-17,0.9117,0.9224,0.9112,0.9211
2002-05-20,0.9206,0.9232,0.918,0.9208
2002-05-21,0.9207,0.9223,0.9161,0.9194
2002-05-22,0.9193,0.928,0.9179,0.9259
2002-05-23,0.9258,0.9273,0.918,0.9214
2002-05-24,0.9215,0.9233,0.9161,0.9203
2002-05-27,0.9205,0.9226,0.9182,0.9209
2002-05-28,0.9211,0.9311,0.9197,0.9286
2002-05-29,0.9285,0.9372,0.9271,0.9354
2002-05-30,0.9354,0.9416,0.9347,0.9366
2002-05-31,0.9366,0.9402,0.9283,0.9337
2002-06-03,0.933,0.9423,0.9302,0.9405
2002-06-04,0.9406,0.9455,0.9387,0.9392
2002-06-05,0.9392,0.942,0.9351,0.9393
2002-06-06,0.9392,0.9482,0.9336,0.9472
2002-06-07,0.9474,0.949,0.9426,0.9426
2002-06-10,0.9431,0.9484,0.9387,0.9441
2002-06-11,0.9441,0.9497,0.9403,0.9481
2002-06-12,0.9482,0.9508,0.9425,0.9433
2002-06-13,0.9435,0.9477,0.9395,0.943
2002-06-14,0.9431,0.9524,0.9413,0.9454
2002-06-17,0.9451,0.9469,0.9411,0.9446
2002-06-18,0.9447,0.9528,0.9435,0.9526
2002-06-19,0.9528,0.9582,0.9515,0.9573
2002-06-20,0.9577,0.9669,0.9556,0.9644
2002-06-21,0.9645,0.9722,0.963,0.9705
2002-06-24,0.9699,0.9817,0.9678,0.9705
2002-06-25,0.9705,0.9803,0.9661,0.9793
2002-06-26,0.9794,0.9947,0.9786,0.9824
2002-06-27,0.9824,0.9902,0.9808,0.9882
2002-06-28,0.9878,0.9992,0.9837,0.9911
2002-07-01,0.9914,0.9973,0.9861,0.9913
2002-07-02,0.9912,0.9922,0.9797,0.9864
2002-07-03,0.9863,0.9864,0.9767,0.9805
2002-07-04,0.9803,0.982,0.9749,0.9788
2002-07-05,0.9786,0.9788,0.9714,0.973
2002-07-08,0.9745,0.9917,0.9741,0.9911
2002-07-09,0.9906,0.9956,0.9871,0.993
2002-07-10,0.993,0.9971,0.9858,0.989
2002-07-11,0.9891,0.9941,0.9832,0.9879
2002-07-12,0.9879,0.9926,0.985,0.9906
2002-07-15,0.9916,1.0091,0.9913,1.0033
2002-07-16,1.0036,1.015,1.0031,1.0124
2002-07-17,1.0124,1.0164,1.0032,1.0068
2002-07-18,1.0069,1.0122,1.0039,1.0121
2002-07-19,1.0119,1.021,1.0102,1.0117
2002-07-22,1.0112,1.0135,1.0054,1.0079
2002-07-23,1.0077,1.0081,0.9844,0.9891
2002-07-24,0.9895,0.9983,0.9873,0.9952
2002-07-25,0.9953,1.0064,0.9939,1.0037
2002-07-26,1.0035,1.007,0.9852,0.9859
2002-07-29,0.9873,0.9891,0.977,0.9811
2002-07-30,0.9812,0.9894,0.9778,0.9832
2002-07-31,0.9832,0.9857,0.9759,0.9774
2002-08-01,0.9772,0.9859,0.9726,0.9844
2002-08-02,0.9846,0.9919,0.9835,0.9859
2002-08-05,0.9865,0.9876,0.9795,0.9801
2002-08-06,0.9805,0.9808,0.9621,0.9661
2002-08-07,0.9664,0.9765,0.9642,0.9746
2002-08-08,0.9746,0.9774,0.964,0.967
2002-08-09,0.9668,0.9742,0.9653,0.9698
2002-08-12,0.9702,0.9801,0.9689,0.9786
2002-08-13,0.9786,0.9849,0.9752,0.9846
2002-08-14,0.9846,0.9894,0.9763,0.9773
2002-08-15,0.9772,0.985,0.9746,0.9825
2002-08-16,0.9824,0.9871,0.9783,0.987
2002-08-19,0.9844,0.9873,0.975,0.9773
2002-08-20,0.9775,0.9809,0.973,0.9777
2002-08-21,0.9783,0.9851,0.9751,0.9799
2002-08-22,0.98,0.9808,0.9671,0.9692
2002-08-23,0.9691,0.9735,0.9664,0.9724
2002-08-26,0.9732,0.9742,0.9684,0.9717
2002-08-27,0.9714,0.9842,0.9702,0.9829
2002-08-28,0.9829,0.9837,0.978,0.9787
2002-08-29,0.9787,0.9888,0.9773,0.9837
2002-08-30,0.9836,0.9866,0.9793,0.9815
2002-09-02,0.9824,0.9857,0.9796,0.9847
2002-09-03,0.9833,0.9977,0.983,0.9967
2002-09-04,0.9966,0.9975,0.9903,0.9923
2002-09-05,0.9923,0.9993,0.9886,0.9916
2002-09-06,0.9915,0.9957,0.9804,0.9808
2002-09-09,0.9817,0.9831,0.978,0.9797
2002-09-10,0.9797,0.9844,0.9721,0.9751
2002-09-11,0.975,0.9771,0.9698,0.9759
2002-09-12,0.9761,0.9825,0.9739,0.9814
2002-09-13,0.9811,0.9841,0.9702,0.9713
2002-09-16,0.9708,0.973,0.9664,0.9687
2002-09-17,0.9688,0.9751,0.9608,0.9736
2002-09-18,0.9737,0.9798,0.9685,0.9772
2002-09-19,0.9768,0.9876,0.9762,0.9874
2002-09-20,0.9872,0.9878,0.9783,0.9826
2002-09-23,0.9808,0.9859,0.9751,0.978
2002-09-24,0.978,0.984,0.9759,0.9824
2002-09-25,0.9826,0.9856,0.9755,0.9767
2002-09-26,0.9764,0.9812,0.9727,0.9769
2002-09-27,0.977,0.9813,0.9748,0.9792
2002-09-30,0.9811,0.9901,0.9805,0.9865
2002-10-01,0.9866,0.9895,0.9821,0.9826
2002-10-02,0.9823,0.9873,0.9809,0.9862
2002-10-03,0.9864,0.9912,0.9857,0.9874
2002-10-04,0.9875,0.9884,0.9781,0.9794
2002-10-07,0.9788,0.9841,0.9777,0.9825
2002-10-08,0.9825,0.9846,0.9765,0.9795
2002-10-09,0.9792,0.9915,0.9778,0.9901
2002-10-10,0.9901,0.9931,0.9847,0.9863
2002-10-11,0.9866,0.9882,0.9833,0.9875
2002-10-14,0.9874,0.9895,0.9854,0.9875
2002-10-15,0.9875,0.9889,0.9791,0.9816
2002-10-16,0.9819,0.9838,0.9798,0.9811
2002-10-17,0.9811,0.9811,0.9697,0.9709
2002-10-18,0.9708,0.9745,0.9697,0.9725
2002-10-21,0.9722,0.9765,0.9687,0.9733
2002-10-22,0.9734,0.9803,0.972,0.9774
2002-10-23,0.9777,0.9801,0.9747,0.9754
2002-10-24,0.9754,0.9788,0.9724,0.9773
